pl_hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,hip_name,ra,dec,st_radv,st_radverr1,st_radverr2,st_optmag,st_optmagerr,st_optband,st_bmvj,st_bmvjerr,st_rad,st_raderr1,st_raderr2,st_metfe,st_metfeerr1,st_metfeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,pl_disc_refname,pl_letter
HD 20781,5.31350000,0.00100000,-0.00100000,0.052900,0.002400,-0.002700,0.100000,0.110000,-0.070000,,,,0.00610,0.00120,-0.00110,0,,HIP 15526,50.012260,-28.783834,40.31,0.14,-0.14,8.480,,V (Johnson),0.820,,,,,-0.110,0.020,-0.020,5256.00,29.00,-29.00,4.37,0.05,-0.05,,,,Udry et al. 2019,b
HD 20781,13.89050000,0.00330000,-0.00340000,0.100400,0.004600,-0.005100,0.090000,0.090000,-0.060000,,,,0.01680,0.00220,-0.00210,0,,HIP 15526,50.012260,-28.783834,40.31,0.14,-0.14,8.480,,V (Johnson),0.820,,,,,-0.110,0.020,-0.020,5256.00,29.00,-29.00,4.37,0.05,-0.05,,,,Udry et al. 2019,c
HD 20781,29.15800000,0.01020000,-0.01000000,0.164700,0.007600,-0.008300,0.110000,0.050000,-0.060000,,,,0.03340,0.00380,-0.00370,0,,HIP 15526,50.012260,-28.783834,40.31,0.14,-0.14,8.480,,V (Johnson),0.820,,,,,-0.110,0.020,-0.020,5256.00,29.00,-29.00,4.37,0.05,-0.05,,,,Udry et al. 2019,d
HD 20781,85.50730000,0.09830000,-0.09470000,0.337400,0.015500,-0.017000,0.060000,0.060000,-0.040000,,,,0.04420,0.00490,-0.00490,0,,HIP 15526,50.012260,-28.783834,40.31,0.14,-0.14,8.480,,V (Johnson),0.820,,,,,-0.110,0.020,-0.020,5256.00,29.00,-29.00,4.37,0.05,-0.05,,,,Udry et al. 2019,e
HD 20782,597.06430000,0.02560000,-0.02560000,1.364900,0.046600,-0.049500,0.950000,0.001000,-0.001000,,,,1.48780,0.10450,-0.10660,0,,HIP 15527,50.014908,-28.854071,39.50,0.20,-0.20,7.400,,V (Johnson),0.630,,1.11,0.01,-0.01,-0.060,,,5790.00,15.00,-15.00,4.38,0.03,-0.03,,,,Jones et al. 2006,b
HD 20868,380.85001000,0.09000000,-0.09000000,0.950000,0.020000,-0.020000,0.750000,0.000000,0.000000,,,,1.25000,0.59000,-0.59000,0,,HIP 15578,50.177895,-33.730103,46.12,0.31,-0.31,9.920,,V (Johnson),1.037,,0.76,0.05,-0.05,0.050,,,4802.00,146.00,-146.00,4.26,0.30,-0.30,,,,Moutou et al. 2009,b
HD 21411,84.28800000,0.12700000,-0.12700000,0.362000,0.007000,-0.007000,0.400000,0.150000,-0.150000,,,,0.20734,0.08055,-0.08055,0,,HIP 16012,51.546322,-30.617809,17.82,0.15,-0.15,7.885,,V (Johnson),0.720,,,,,,,,5605.00,247.00,-132.00,,,,,,,Feng et al. 2019,b
K2-86,8.77683000,0.00098000,-0.00098000,0.077000,0.002600,-0.002600,,,,,,,,,,,0.175,,51.552799,18.635616,122.52,2.42,-2.42,13.167,0.260,V (Johnson),0.647,0.261,0.76,0.09,-0.09,,,,5482.00,248.00,-248.00,4.58,0.07,-0.07,,,,Crossfield et al. 2016,b
GJ 143,35.61253000,0.00060000,-0.00062000,0.191500,0.005800,-0.006300,0.188000,0.076000,-0.078000,89.330,0.150,-0.110,0.07142,0.00692,-0.00598,0,0.233,HIP 16069,51.746769,-63.499100,59.46,0.12,-0.12,7.870,,V (Johnson),1.140,,0.69,0.03,-0.03,0.003,0.060,-0.060,4640.00,100.00,-100.00,4.61,0.05,-0.06,3.800,3.700,-3.700,Trifonov et al. 2019,b
GJ 143,7.78993000,0.00051000,-0.00044000,0.069500,0.002100,-0.002300,,,,88.900,0.500,-0.370,0.01164,,,1,0.080,HIP 16069,51.746769,-63.499100,59.46,0.12,-0.12,7.870,,V (Johnson),1.140,,0.69,0.03,-0.03,0.003,0.060,-0.060,4640.00,100.00,-100.00,4.61,0.05,-0.06,3.800,3.700,-3.700,Dragomir et al. 2018,c
HD 21693,53.73570000,0.03120000,-0.03090000,0.258600,0.010300,-0.011300,0.070000,0.060000,-0.050000,,,,0.05470,0.00560,-0.00560,0,,HIP 16085,51.802010,-58.323681,39.52,0.15,-0.15,7.950,,V (Johnson),0.760,,,,,0.000,0.020,-0.020,5430.00,26.00,-26.00,4.37,0.04,-0.04,,,,Udry et al. 2019,c
HD 21693,22.67860000,0.00850000,-0.00870000,0.145500,0.005800,-0.006300,0.120000,0.090000,-0.080000,,,,0.02590,0.00340,-0.00330,0,,HIP 16085,51.802010,-58.323681,39.52,0.15,-0.15,7.950,,V (Johnson),0.760,,,,,0.000,0.020,-0.020,5430.00,26.00,-26.00,4.37,0.04,-0.04,,,,Udry et al. 2019,b
K2-30,4.09850300,0.00001100,-0.00001100,0.048390,0.000760,-0.000760,0.000000,,,86.920,0.260,-0.240,0.57900,0.02800,-0.02700,0,1.039,,52.341961,22.299404,35.43,0.00,-0.00,13.530,0.040,V (Johnson),0.976,0.050,0.84,0.03,-0.03,-0.150,0.050,-0.050,5425.00,40.00,-40.00,4.54,0.03,-0.03,3.900,2.100,-1.900,Johnson et al. 2016,b
K2-175,9.52598800,0.00124100,-0.00128000,,,,,,,87.494,1.692,-2.983,,,,,0.182,,52.503578,17.584192,-32.58,1.00,-1.00,10.836,0.079,V (Johnson),0.668,0.119,1.42,0.21,-0.17,0.050,0.080,-0.080,5909.00,50.00,-50.00,4.11,0.10,-0.10,,,,Mayo et al. 2018,b
WASP-22,3.53269000,0.00001000,-0.00001000,,,,0.020000,0.010000,-0.010000,89.200,0.500,-0.500,0.67000,0.19000,-0.19000,0,1.230,,52.818043,-23.819702,-7.19,0.00,,12.000,,V (Johnson),,,1.24,0.13,-0.13,-0.050,,,6000.00,100.00,-100.00,4.50,0.20,-0.20,,,,Maxted et al. 2010,b
K2-178,8.74781800,0.00036300,-0.00035800,,,,,,,88.611,1.006,-1.592,,,,,0.317,,52.888882,22.434870,0.39,0.66,-0.66,12.403,0.040,V (Johnson),0.873,0.050,0.89,0.04,-0.03,0.090,0.080,-0.080,5525.00,50.00,-50.00,4.55,0.10,-0.10,,,,Mayo et al. 2018,b
eps Eri,2502.00000000,10.00000000,-10.00000000,3.390000,0.360000,-0.360000,0.702000,0.039000,-0.039000,30.100,3.800,-3.800,1.55000,0.24000,-0.24000,0,,HIP 16537,53.232685,-9.458262,16.00,0.10,-0.10,3.820,0.010,V (Johnson),2.000,0.050,,,,-0.130,0.040,-0.040,,,,,,,0.800,,,Hatzes et al. 2000,b
BD+20 594,41.68550000,0.00300000,-0.00300000,,,,0.000000,,,89.550,0.160,-0.160,0.07000,0.03000,-0.03000,0,0.230,,53.650967,20.599232,-20.34,0.00,-0.00,11.038,0.047,V (Johnson),0.918,0.149,1.08,0.06,-0.06,-0.150,,,5766.00,99.00,-99.00,4.50,0.08,-0.08,,,,Espinoza et al. 2016,b
UZ For,1916.25000000,91.25000000,-91.25000000,2.800000,0.500000,-0.500000,0.050000,0.050000,-0.050000,,,,7.70000,1.20000,-1.20000,-1,,,53.869338,-25.739395,,,,,,,,,,,,,,,,,,,,,,,,Potter et al. 2011,c
UZ For,5840.00000000,1095.00000000,-1095.00000000,5.900000,1.400000,-1.400000,0.040000,0.050000,-0.050000,,,,6.30000,1.50000,-1.50000,-1,,,53.869338,-25.739395,,,,,,,,,,,,,,,,,,,,,,,,Potter et al. 2011,b
K2-88,4.61220000,0.00018000,-0.00018000,0.034500,0.003000,-0.003000,,,,,,,,,,,0.110,,54.751598,19.120178,,,,15.476,0.053,V (Johnson),1.526,0.096,0.26,0.05,-0.05,,,,3537.00,93.00,-93.00,5.02,0.07,-0.07,,,,Crossfield et al. 2016,b
HD 23127,1211.17000000,11.11000000,-8.91000000,2.370000,0.032000,-0.032000,0.406000,0.083000,-0.090000,,,,1.52700,0.03700,-0.03800,0,,HIP 17054,54.848495,-60.077843,21.90,,,8.576,0.002,V (Johnson),0.701,0.013,1.49,0.10,-0.10,0.290,0.030,-0.030,5843.00,52.00,-52.00,4.15,0.05,-0.05,4.508,0.788,-0.788,O'Toole et al. 2007,b
HD 23079,730.59998000,5.70000000,-5.70000000,1.600000,0.030000,-0.030000,0.100000,0.030000,-0.030000,,,,2.61000,0.11000,-0.11000,0,,HIP 17096,54.929562,-52.915836,0.50,0.20,-0.20,7.120,,V (Johnson),0.580,,1.07,0.01,-0.01,-0.130,,,5974.00,10.00,-10.00,4.43,0.02,-0.02,,,,Tinney et al. 2002,b
HD 22781,528.07000000,0.14000000,-0.14000000,1.167000,0.039000,-0.039000,0.819100,0.002300,-0.002300,,,,13.65000,0.97000,-0.97000,0,,HIP 17187,55.206356,31.826290,8.25,0.00,-0.00,8.766,0.016,V (Johnson),0.861,0.031,,,,-0.370,0.120,-0.120,5027.00,50.00,-50.00,4.60,0.02,-0.02,4.800,4.100,-4.200,Diaz et al. 2012,b
K2-77,8.19979600,0.00068300,-0.00071900,,,,0.140000,0.220000,-0.090000,88.700,0.800,-0.800,1.90000,,,1,0.205,,55.228428,12.572612,7.35,0.20,-0.20,12.158,0.093,V (Johnson),1.071,0.098,0.76,0.03,-0.03,0.290,0.060,-0.060,4970.00,45.00,-45.00,4.47,0.13,-0.13,0.850,0.450,-0.450,Crossfield et al. 2016,b
K2-177,14.15518500,0.00315000,-0.00296500,,,,,,,87.220,1.998,-3.741,,,,,0.189,,55.229565,20.736078,19.77,1.09,-1.09,12.645,0.040,V (Johnson),0.896,0.057,1.21,0.09,-0.06,0.410,0.080,-0.080,6063.00,50.00,-50.00,4.38,0.10,-0.10,,,,Mayo et al. 2018,b
K2-79,10.99573000,0.00070000,-0.00070000,0.098700,0.001200,-0.001200,,,,,,,,,,,0.329,,55.255905,13.519372,-10.63,0.88,-0.88,12.075,0.060,V (Johnson),0.818,0.063,1.28,0.12,-0.12,,,,5926.00,86.00,-86.00,4.25,0.07,-0.07,,,,Crossfield et al. 2016,b
K2-288 B,31.39346300,0.00006700,-0.00006900,0.164000,0.030000,-0.030000,,,,89.810,0.130,-0.170,,,,0,0.170,,55.443439,18.268902,71.60,0.20,-0.20,13.868,0.120,V (Johnson),1.555,0.124,0.32,0.03,-0.03,-0.210,0.090,-0.090,3341.00,276.00,-276.00,4.96,0.02,-0.02,1.000,,,Feinstein et al. 2019,b
HD 23472,29.62500000,0.22400000,-0.17100000,0.170000,0.001000,-0.001000,0.000000,,,,,,0.05405,0.00337,-0.04333,0,,HIP 17264,55.459988,-62.767075,34.22,0.23,-0.23,9.724,0.030,V (Johnson),1.079,0.061,0.73,0.01,-0.01,,,,,,,,,,,,,Trifonov et al. 2019,c
HD 23472,17.66700000,0.14200000,-0.09500000,0.121000,0.001000,-0.001000,0.000000,,,,,,0.05638,0.00444,-0.04405,0,,HIP 17264,55.459988,-62.767075,34.22,0.23,-0.23,9.724,0.030,V (Johnson),1.079,0.061,0.73,0.01,-0.01,,,,,,,,,,,,,Trifonov et al. 2019,b
K2-84,6.42150000,0.00056000,-0.00056000,0.066500,0.001600,-0.001600,,,,,,,,,,,0.215,,55.809273,16.634548,7.64,1.42,-1.42,13.443,0.060,V (Johnson),0.991,0.078,0.93,0.12,-0.12,,,,5652.00,154.00,-154.00,4.48,0.09,-0.09,,,,Crossfield et al. 2016,b
K2-84,27.86000000,0.00520000,-0.00520000,0.176800,0.004300,-0.004300,,,,,,,,,,,0.181,,55.809273,16.634548,7.64,1.42,-1.42,13.443,0.060,V (Johnson),0.991,0.078,0.93,0.12,-0.12,,,,5652.00,154.00,-154.00,4.48,0.09,-0.09,,,,Crossfield et al. 2016,c
WASP-119,2.49979000,0.00001000,-0.00001000,0.036300,0.000700,-0.000700,0.058000,,,85.000,2.000,-2.000,1.23000,0.08000,-0.08000,0,1.400,,55.933441,-65.193855,8.40,0.01,-0.01,12.200,0.400,V (Johnson),,,1.20,0.10,-0.10,0.140,0.100,-0.100,5650.00,100.00,-100.00,4.26,0.08,-0.08,8.000,2.500,-2.500,Maxted et al. 2016,b
HD 24085,2.04550000,0.00020000,-0.00020000,0.034000,0.001000,-0.001000,0.220000,0.120000,-0.120000,,,,0.03713,0.00975,-0.00975,0,,HIP 17515,56.256458,-70.024101,27.94,0.19,-0.19,7.564,0.011,V (Johnson),0.600,0.019,,,,,,,6034.00,32.00,-53.00,,,,,,,Feng et al. 2019,b
HD 23596,1561.00000000,12.00000000,-12.00000000,2.770000,0.050000,-0.050000,0.270000,0.010000,-0.010000,,,,9.03000,0.74000,-0.74000,0,,HIP 17747,57.001556,40.530636,-10.20,0.20,-0.20,7.244,0.011,V (Johnson),0.608,0.019,1.53,0.03,-0.03,0.280,,,6040.00,29.00,-29.00,4.23,0.05,-0.05,,,,Perrier et al. 2003,b
K2-89,1.09602600,0.00006500,-0.00006500,0.014620,0.000510,-0.000510,,,,,,,,,,,0.055,,57.066715,20.459639,15.33,1.27,-1.27,14.162,0.050,V (Johnson),1.466,0.078,0.32,0.03,-0.03,,,,3691.00,51.00,-51.00,4.96,0.05,-0.05,,,,Crossfield et al. 2016,b
K2-81,6.10232500,0.00039000,-0.00040700,0.059000,0.002000,-0.002000,0.060000,0.144406,-0.051854,89.290,0.490,-0.570,,,,0,0.176,,57.485489,14.502200,,,,14.364,0.040,V (Johnson),1.196,0.108,0.63,0.04,-0.03,,,,4674.13,140.71,-131.16,,,,,,,Crossfield et al. 2016,b
HD 24040,3668.00000000,170.00000000,-170.00000000,4.920000,0.210000,-0.210000,0.040000,0.060000,-0.060000,,,,3.86000,0.36000,-0.36000,0,,HIP 17960,57.595699,17.476366,-9.90,0.10,-0.10,7.493,0.011,V (Johnson),0.677,0.019,1.30,0.02,-0.02,0.190,,,5802.00,15.00,-15.00,4.26,0.05,-0.05,,,,Wright et al. 2007,b
K2-176,5.32943900,0.00061000,-0.00070900,,,,,,,88.063,1.418,-2.940,,,,,0.133,,58.269165,17.907072,-27.30,0.61,-0.61,12.893,0.060,V (Johnson),0.875,0.078,0.86,0.03,-0.02,0.150,0.080,-0.080,5428.00,50.00,-50.00,4.63,0.10,-0.10,,,,Mayo et al. 2018,b
WASP-98,2.96264036,0.00000043,-0.00000043,0.037620,0.001000,-0.001000,,,,86.380,0.070,-0.070,0.92200,0.08000,-0.08000,0,1.144,,58.428794,-34.328194,-38.29,0.00,-0.00,,,,,,0.74,0.02,-0.02,-0.490,0.100,-0.100,5473.00,121.00,-121.00,4.61,0.01,-0.01,2.700,6.800,-2.700,Hellier et al. 2014,b
K2-179,5.17219100,0.00020100,-0.00020200,,,,,,,88.755,0.883,-1.588,,,,,0.224,,58.796898,23.756807,-1.93,0.64,-0.64,12.956,0.031,V (Johnson),1.028,0.033,0.77,0.02,-0.02,0.030,0.080,-0.080,5015.00,50.00,-50.00,4.63,0.10,-0.10,,,,Mayo et al. 2018,b
HD 25171,1802.29000000,24.12000000,-22.92000000,2.971000,0.033000,-0.032000,0.042000,0.046000,-0.029000,,,,0.91500,0.01100,-0.01200,0,,HIP 18387,58.956001,-65.186676,43.60,0.01,-0.01,7.782,0.013,V (Johnson),0.618,0.005,1.23,0.04,-0.04,-0.120,0.040,-0.040,6125.00,21.00,-21.00,4.26,0.03,-0.03,4.802,0.619,-0.619,Moutou et al. 2011,b
K2-80,19.09180000,0.00640000,-0.00640000,0.135000,0.004000,-0.004000,,,,,,,,,,,0.179,,59.037487,13.559289,16.78,0.80,-0.80,12.626,0.090,V (Johnson),0.984,0.103,0.87,0.10,-0.10,,,,5441.00,249.00,-249.00,4.52,0.07,-0.07,,,,Crossfield et al. 2016,b
K2-80,5.60500000,0.00110000,-0.00110000,0.059600,0.001800,-0.001800,,,,,,,,,,,0.131,,59.037487,13.559289,16.78,0.80,-0.80,12.626,0.090,V (Johnson),0.984,0.103,0.87,0.10,-0.10,,,,5441.00,249.00,-249.00,4.52,0.07,-0.07,,,,Crossfield et al. 2016,c
K2-80,28.86725300,0.00514000,-0.00462500,,,,,,,89.397,0.429,-0.768,,,,,0.228,,59.037487,13.559289,16.78,0.80,-0.80,12.626,0.090,V (Johnson),0.984,0.103,0.87,0.10,-0.10,,,,5441.00,249.00,-249.00,4.52,0.07,-0.07,,,,Mayo et al. 2018,d
HD 24064,535.59998000,3.00000000,-3.00000000,1.290000,0.040000,-0.040000,0.350000,0.080000,-0.080000,,,,12.89000,2.89000,-2.89000,0,,HIP 18451,59.151241,74.080032,-45.28,0.18,-0.18,6.750,,V (Johnson),1.513,0.008,40.00,4.20,-4.20,-0.490,,,4052.00,22.00,-22.00,1.44,0.11,-0.11,,,,Lee et al. 2015,b
K2-90,2.90070600,0.00033100,-0.00031900,0.035000,0.001000,-0.001000,0.190000,0.211462,-0.153189,86.940,1.460,-0.670,,,,0,0.116,,59.152405,22.472631,19.16,0.97,-0.97,13.855,0.040,V (Johnson),1.325,0.064,0.62,0.01,-0.01,-0.225,0.053,-0.053,4484.00,58.00,-50.00,4.65,0.02,-0.01,,,,Crossfield et al. 2016,c
K2-90,13.73331400,0.00008300,-0.00009900,0.096000,0.001000,-0.001000,,,,89.240,0.090,-0.090,,,,0,0.232,,59.152405,22.472631,19.16,0.97,-0.97,13.855,0.040,V (Johnson),1.325,0.064,0.62,0.01,-0.01,-0.225,0.053,-0.053,4484.00,58.00,-50.00,4.65,0.02,-0.01,,,,Crossfield et al. 2016,b
HD 25015,6019.32000000,679.36500000,-262.98000000,6.190000,0.450000,-0.230000,0.390000,0.090000,-0.070000,,,,4.48000,0.30000,-0.28000,0,,HIP 18527,59.432999,-20.267792,28.15,0.18,-0.18,8.870,,V (Johnson),0.899,,0.83,0.04,-0.04,0.040,0.040,-0.040,5160.00,63.00,-63.00,4.40,0.14,-0.14,4.000,3.410,-3.410,Rickman et al. 2019,b
K2-85,0.68453300,0.00001800,-0.00001800,0.012630,0.000370,-0.000370,,,,,,,,,,,0.090,,59.464394,18.465254,-3.94,0.49,-0.49,12.831,0.470,V (Johnson),0.973,0.470,0.51,0.04,-0.04,,,,4268.00,122.00,-122.00,4.78,0.06,-0.06,,,,Crossfield et al. 2016,b
K2-111,5.35117000,0.00055000,-0.00055000,0.062100,0.009200,-0.008500,0.000000,,,86.200,1.000,-1.000,0.02706,0.01227,-0.01227,0,0.170,,59.889755,21.298685,-16.21,0.02,-0.02,11.137,0.040,V (Johnson),0.659,0.050,1.23,0.10,-0.10,-0.530,0.050,-0.050,5730.00,50.00,-50.00,4.15,0.10,-0.10,10.770,1.450,-1.450,Fridlund et al. 2017,b
K2-83,2.74697000,0.00018000,-0.00018000,0.030140,0.000410,-0.000410,,,,,,,,,,,0.111,,59.901562,15.558886,,,,14.514,0.020,V (Johnson),1.539,0.073,0.42,0.02,-0.02,,,,3910.00,49.00,-49.00,4.86,0.05,-0.05,,,,Crossfield et al. 2016,b
K2-83,9.99767000,0.00081000,-0.00081000,0.071310,0.000960,-0.000960,,,,,,,,,,,0.132,,59.901562,15.558886,,,,14.514,0.020,V (Johnson),1.539,0.073,0.42,0.02,-0.02,,,,3910.00,49.00,-49.00,4.86,0.05,-0.05,,,,Crossfield et al. 2016,c
K2-173,5.86869900,0.00044600,-0.00040800,,,,,,,87.826,1.540,-2.875,,,,,0.143,,60.374950,15.625037,102.96,0.96,-0.96,12.403,0.010,V (Johnson),0.849,0.051,0.84,0.06,-0.04,-0.250,0.080,-0.080,5580.00,70.00,-70.00,4.52,0.12,-0.12,,,,Mayo et al. 2018,b
WASP-140,2.23598350,0.00000080,-0.00000080,0.032300,0.000500,-0.000500,0.047000,0.003500,-0.003500,83.300,0.500,-0.800,2.44000,0.07000,-0.07000,0,1.440,,60.385620,-20.451092,2.12,0.00,-0.00,11.100,,V (Johnson),,,0.87,0.04,-0.04,0.120,0.100,-0.100,5260.00,100.00,-100.00,4.51,0.04,-0.04,0.500,,,Hellier et al. 2017,b
K2-174,19.56230700,0.00007800,-0.00007600,0.126000,0.001000,-0.001000,,,,89.950,0.040,-0.050,,,,0,0.232,,60.792843,16.347446,-0.67,0.46,-0.46,12.424,0.030,V (Johnson),1.234,0.036,0.68,0.01,-0.01,0.113,0.065,-0.071,4455.00,31.00,-29.00,4.62,0.02,-0.02,,,,Mayo et al. 2018,b
HATS-57,2.35062100,0.00000130,-0.00000130,0.034930,0.000210,-0.000300,0.028000,,,87.880,0.400,-0.400,3.14700,0.07300,-0.07300,0,1.139,,60.948335,-19.056757,0.54,0.01,-0.01,12.344,0.047,V (Johnson),,,0.96,0.01,-0.01,0.268,0.043,-0.043,5587.00,19.00,-19.00,4.48,0.02,-0.02,2.500,1.500,-1.100,Espinoza et al. 2019,b
V1298 Tau,24.13960000,0.00180000,-0.00180000,0.168800,0.002600,-0.002600,0.290000,,,89.000,0.460,-0.240,,,,0,0.916,,61.331642,20.157103,16.15,0.38,-0.38,10.116,0.050,V (Johnson),0.999,0.104,1.34,0.06,-0.05,,,,,,,,,,0.023,0.004,-0.004,David et al. 2019,b
V1298 Tau,8.24958000,0.00072000,-0.00072000,0.082500,0.001300,-0.001300,0.430000,,,88.490,0.920,-0.720,,,,0,0.499,,61.331642,20.157103,16.15,0.38,-0.38,10.116,0.050,V (Johnson),0.999,0.104,1.34,0.06,-0.05,,,,,,,,,,0.023,0.004,-0.004,David et al. 2019,c
V1298 Tau,12.40320000,0.00150000,-0.00150000,0.108300,0.001700,-0.001700,0.210000,,,89.040,0.650,-0.730,,,,0,0.572,,61.331642,20.157103,16.15,0.38,-0.38,10.116,0.050,V (Johnson),0.999,0.104,1.34,0.06,-0.05,,,,,,,,,,0.023,0.004,-0.004,David et al. 2019,d
V1298 Tau,60.00000000,60.00000000,-18.00000000,0.308000,0.182000,-0.066000,0.570000,,,89.400,0.260,-0.180,,,,0,0.780,,61.331642,20.157103,16.15,0.38,-0.38,10.116,0.050,V (Johnson),0.999,0.104,1.34,0.06,-0.05,,,,,,,,,,0.023,0.004,-0.004,David et al. 2019,e
GJ 160.2,5.23540000,0.00270000,-0.00650000,0.053000,0.004000,-0.007000,0.060000,0.200000,-0.060000,,,,0.03209,0.02265,-0.01856,0,,HIP 19165,61.645172,-20.853121,24.87,0.21,-0.21,9.680,0.009,V (Johnson),1.220,0.006,,,,,,,4347.00,,,,,,,,,Tuomi et al. 2014,b
HATS-61,7.81795300,0.00002400,-0.00002400,0.079080,0.000330,-0.000330,0.092000,,,87.150,0.180,-0.180,3.40000,0.14000,-0.14000,0,1.195,,61.657782,-25.349710,54.08,0.01,-0.01,13.233,0.024,V (Johnson),,,1.66,0.02,-0.02,0.247,0.037,-0.037,5542.00,21.00,-21.00,4.03,0.01,-0.01,8.900,0.310,-0.410,Hartman et al. 2018,b
HD 285507,6.08810000,0.00180000,-0.00180000,0.060000,0.000000,0.000000,0.090000,0.020000,-0.020000,,,,0.98000,0.10000,-0.10000,0,,HIP 19207,61.755104,15.335032,38.15,0.02,-0.02,10.267,0.060,V (Johnson),1.415,0.184,0.69,0.02,-0.02,0.130,,,4503.00,73.00,-73.00,4.67,0.05,-0.05,,,,Quinn et al. 2014,b
GJ 163,603.95116000,7.55862000,-7.55862000,1.030400,0.008600,-0.008600,0.373000,0.077000,-0.077000,,,,0.09250,0.00912,-0.00912,0,,HIP 19394,62.315273,-53.373699,58.60,0.00,-0.00,11.810,0.014,V (Johnson),1.480,0.044,,,,0.100,0.100,-0.100,3500.00,100.00,-100.00,,,,6.000,4.000,-4.000,Bonfils et al. 2013,d
GJ 163,8.63182000,0.00155000,-0.00155000,0.060700,0.000010,-0.000010,0.073000,0.050000,-0.050000,,,,0.03335,0.00189,-0.00189,0,,HIP 19394,62.315273,-53.373699,58.60,0.00,-0.00,11.810,0.014,V (Johnson),1.480,0.044,,,,0.100,0.100,-0.100,3500.00,100.00,-100.00,,,,6.000,4.000,-4.000,Bonfils et al. 2013,b
GJ 163,25.63058000,0.02550000,-0.02550000,0.125400,0.000100,-0.000100,0.099000,0.086000,-0.086000,,,,0.02140,0.00283,-0.00283,0,,HIP 19394,62.315273,-53.373699,58.60,0.00,-0.00,11.810,0.014,V (Johnson),1.480,0.044,,,,0.100,0.100,-0.100,3500.00,100.00,-100.00,,,,6.000,4.000,-4.000,Bonfils et al. 2013,c
WASP-120,3.61127060,0.00000430,-0.00000430,0.051400,0.000700,-0.000700,0.057000,0.022000,-0.018000,82.540,0.780,-0.780,4.85000,0.21000,-0.21000,0,1.473,,62.616051,-45.898220,19.84,0.01,-0.01,11.000,,V (Johnson),0.523,0.083,1.87,0.11,-0.11,-0.050,0.070,-0.070,6450.00,120.00,-120.00,4.04,0.05,-0.05,2.600,0.500,-0.500,Turner et al. 2016,b
K2-29,3.25883210,0.00000190,-0.00000190,0.042170,0.000240,-0.000240,0.066000,0.022000,-0.022000,86.656,0.110,-0.080,0.73000,0.04000,-0.04000,0,1.190,,62.670647,24.402042,32.88,0.00,-0.00,12.526,0.044,V (Johnson),1.071,0.076,0.86,0.01,-0.01,0.160,0.030,-0.030,5358.00,38.00,-38.00,4.54,0.01,-0.01,2.600,1.200,-1.200,Santerne et al. 2016,b
K2-91,1.41954900,0.00007100,-0.00007100,0.016400,0.001100,-0.001100,,,,,,,,,,,0.098,,63.218063,24.205112,,,,15.572,0.055,V (Johnson),1.507,0.114,0.28,0.04,-0.04,,,,3622.00,104.00,-104.00,5.00,0.05,-0.05,,,,Crossfield et al. 2016,b
K2-25,3.48455200,0.00003100,-0.00003700,,,,0.270000,0.160000,-0.210000,88.300,1.200,-0.700,,,,0,0.306,,63.273434,15.247763,38.64,0.15,-0.15,15.881,0.030,V (Johnson),1.879,0.144,0.29,0.02,-0.02,0.150,0.030,-0.030,3180.00,60.00,-60.00,,,,,,,Mann et al. 2016,b
WASP-126,3.28880000,0.00001000,-0.00001000,0.044900,0.000800,-0.000800,0.180000,,,87.900,1.500,-1.500,0.28000,0.04000,-0.04000,0,0.960,,63.373865,-69.226807,29.16,0.00,-0.00,10.800,0.500,V (Johnson),,,1.27,0.10,-0.05,0.170,0.080,-0.080,5800.00,100.00,-100.00,4.28,0.03,-0.07,6.400,1.600,-1.600,Maxted et al. 2016,b
WASP-78,2.17518000,0.00000500,-0.00000500,,,,0.000000,,,83.200,1.950,-1.950,1.11000,0.54000,-0.54000,0,1.930,,63.756240,-22.116434,1.26,1.60,-1.60,12.000,,V (Johnson),,,2.46,0.58,-0.58,-0.350,,,6100.00,150.00,-150.00,4.10,0.20,-0.20,,,,Smalley et al. 2012,b
HD 26965,42.37800000,0.01000000,-0.01000000,,,,0.040000,0.050000,-0.030000,,,,0.02665,0.00148,-0.00148,0,,HIP 19849,63.818001,-7.652871,-43.00,0.10,-0.10,4.430,,V (Johnson),0.820,,0.87,0.17,-0.17,-0.420,0.040,-0.040,5072.00,53.00,-53.00,4.45,0.19,-0.19,6.900,4.700,-4.700,Ma et al. 2018,b
HD 27442,428.10000000,1.10000000,-1.10000000,1.271000,0.073000,-0.073000,0.060000,0.043000,-0.043000,,,,1.56000,0.14000,-0.14000,0,,HIP 19921,64.120956,-59.302155,29.20,,,4.440,,V (Johnson),1.080,,,,,0.420,0.030,-0.030,4846.00,44.00,-44.00,3.78,0.06,-0.06,,,,Butler et al. 2001,b
